nombre,grupo,MW,dG_P-gp_MDR1,dG_CYP3A4,dG_TfR1,dG_FRalpha,dG_Lisozima,dG_HSA,dG_P-gp_MDR1_n,dG_CYP3A4_n,dG_TfR1_n,dG_FRalpha_n,dG_Lisozima_n,dG_HSA_n,score_targeting,score_eflujo,score_transporte,score_biocompat,ratio_TE,mw_factor,ITI_raw,ITI_score,perfil
L-Lactide,monomeros_degradacion,144.126,-4.625,-5.254,-4.847,-5.785,-3.139,-4.929,0.6435496749173035,0.47729834990263403,0.5135575640835679,0.5070682237246465,0.6536498213374171,0.37526037493991343,0.5103128939041073,0.5604240124099688,0.37526037493991343,0.6536498213374171,0.8946202873685144,0.7,0.252780494380229,56.18,Moderado
5-Fluorouracil,farmacos_modelo,130.078,-4.629,-5.127,-5.353,-5.667,-3.275,-4.48,0.6430934185011977,0.4903146458952547,0.438583493850941,0.5215734480639214,0.6189382337927515,0.44720397372215986,0.48007847095743117,0.5667040321982262,0.44720397372215986,0.6189382337927515,0.8324520796699014,0.7,0.24780229428442244,55.1,Moderado
4-Aminobenzoic acid,ligandos_targeting,137.138,-5.504,-6.038,-5.667,-6.44,-3.676,-5.115,0.5432873274780426,0.3969457825151173,0.39205808267891545,0.42655193607867237,0.5165900969882593,0.3454574587405864,0.4093050093787939,0.47011655499658,0.3454574587405864,0.5165900969882593,0.852511760153135,0.7,0.21735527918018016,48.46,Moderado
Gemcitabine,farmacos_modelo,263.2,-7.159,-7.002,-6.827,-7.736,-4.133,-6.016,0.3545112353142466,0.2981449215947525,0.22018076752111432,0.267240319606638,0.39994895354772847,0.20108956897933022,0.24371054356387617,0.3263280784544995,0.20108956897933022,0.39994895354772847,0.7246214609371272,1.0,0.21236235796606498,47.38,Moderado
Methyl acrylate,monomeros_degradacion,86.09,-3.886,-3.744,-3.431,-3.854,-2.369,-3.288,0.7278430477928596,0.6320590345393051,0.7233664246555045,0.7444376152427782,0.8501786625829505,0.63819900656946,0.7339020199491413,0.6799510411660823,0.63819900656946,0.8501786625829505,1.063701590635732,0.4,0.20728224297424297,46.27,Moderado
2-Aminoethanol,oligomeros_unidades,61.084,-2.818,-3.052,-3.628,-3.922,-2.621,-2.35,0.849663510893122,0.7029824741211438,0.6941769150985332,0.736078672403196,0.7858601327207759,0.7884954334241306,0.7151277937508647,0.7763229925071329,0.7884954334241306,0.7858601327207759,0.9094580732921625,0.4,0.20348236288777555,45.44,Moderado
Ethylenediamine,monomeros_degradacion,60.1,-2.873,-3.045,-3.607,-3.92,-2.662,-2.414,0.8433899851716664,0.7036999077585323,0.6972884871832864,0.7363245236631838,0.7753956100051047,0.7782406665598461,0.7168065054232351,0.7735449464650994,0.7782406665598461,0.7753956100051047,0.9148249997106745,0.4,0.20282502118675244,45.3,Moderado
Acrylic acid,oligomeros_unidades,72.063,-3.601,-3.702,-3.936,-4.126,-2.713,-3.096,0.7603513174404015,0.6363636363636364,0.6485405245221515,0.7110018438844499,0.762378764675855,0.6689633071623138,0.6797711842033007,0.6983574769020189,0.6689633071623138,0.762378764675855,0.9596442564229865,0.4,0.19335120061608202,43.23,Moderado
Ibuprofen,farmacos_modelo,206.285,-6.34,-7.041,-5.889,-8.798,-4.48,-6.156,0.4479297365119197,0.29414779132930197,0.35916432064009485,0.13669330055316536,0.3113833588565594,0.17865726646370778,0.2479288105966301,0.37103876392061086,0.17865726646370778,0.3113833588565594,0.6506655859514752,1.0,0.1879124492722249,42.05,Moderado
Glycolic acid,monomeros_degradacion,76.051,-3.28,-3.392,-4.193,-4.457,-2.751,-2.708,0.7969658948328961,0.6681356974479861,0.6104608090087421,0.6703134603564844,0.7526799387442573,0.731132831277039,0.6403871346826133,0.7325507961404412,0.731132831277039,0.7526799387442573,0.862415255644672,0.4,0.1867892934755532,41.8,Moderado
Doxorubicin,farmacos_modelo,543.525,-8.363,-9.209,-7.687,-7.741,-5.472,-7.271,0.21717805406638532,0.07194834477810802,0.09275448214550308,0.26662569145666876,0.05819295558958646,0.0,0.17969008680108592,0.14456319942224666,0.0,0.05819295558958646,1.1625670759453928,1.0,0.18177638966901083,40.71,Moderado
D-Lactic acid,monomeros_degradacion,90.078,-3.755,-3.908,-4.616,-4.899,-2.762,-3.187,0.7427854454203262,0.6152505893204879,0.5477848570158543,0.615980331899201,0.7498723838693211,0.6543823105271591,0.5818825944575277,0.679018017370407,0.6543823105271591,0.7498723838693211,0.8445099834663906,0.4,0.1737020140269731,38.95,Moderado
L-Lactic acid,monomeros_degradacion,90.078,-3.782,-3.911,-4.621,-4.892,-2.895,-3.184,0.7397057146116117,0.614943117761607,0.5470440065194844,0.6168408113091579,0.7159264931087289,0.6548630027239224,0.5819424089143211,0.6773244161866094,0.6548630027239224,0.7159264931087289,0.8466779226948385,0.4,0.17255387227141847,38.7,Moderado
Curcumin,farmacos_modelo,368.385,-7.624,-7.692,-7.458,-9.537,-4.858,-6.572,0.30147142694194135,0.22742646305216763,0.12668543487924142,0.04585125998770736,0.21490556406329772,0.11200128184585802,0.08626834743347439,0.2644489449970545,0.11200128184585802,0.21490556406329772,0.3143329533819132,1.0,0.08211899479665134,19.0,Desfavorable
Ammonia,oligomeros_unidades,17.031,-1.5,-1.577,-1.564,-1.775,-1.782,-1.03,1.0,0.8541559905708722,1.0,1.0,1.0,1.0,1.0,0.9270779952854361,1.0,1.0,1.0671470304831965,0.1,0.0674347467473083,15.8,Desfavorable
Methylamine,oligomeros_unidades,31.058,-1.828,-2.176,-2.12,-2.472,-2.158,-1.568,0.9625869738793202,0.7927641693143384,0.9176174248036746,0.914320835894284,0.9040326697294538,0.9137958660471078,0.9159691303489793,0.8776755715968293,0.9137958660471078,0.9040326697294538,1.0318737607043225,0.1,0.06191702236847712,14.59,Desfavorable
Sirolimus,farmacos_modelo,914.187,-7.353,-0.154,-7.721,-6.603,-5.523,-7.003,0.3323827991331128,1.0,0.08771669877018824,0.4065150583896743,0.04517611026033703,0.04294183624419161,0.24711587857993125,0.6661913995665564,0.04294183624419161,0.04517611026033703,0.36545256082572825,0.8,0.058451084906066965,13.84,Desfavorable
Folic acid,ligandos_targeting,441.404,-7.881,-9.781,-8.007,-9.669,-5.692,-6.836,0.27215695220714037,0.013323767551501385,0.04534005037783389,0.029625076828518705,0.002041858090862687,0.06970036853068412,0.0374825636031763,0.14274035987932088,0.06970036853068412,0.002041858090862687,0.24540051910831567,1.0,0.03990708285549949,9.8,Desfavorable
Methotrexate,farmacos_modelo,454.447,-8.128,-9.911,-8.313,-9.91,-5.7,-7.048,0.243983118512604,0.0,0.0,0.0,0.0,0.03573145329274153,0.0,0.121991559256302,0.03573145329274153,0.0,0.0,1.0,-0.005052865267081895,0.0,Desfavorable
